"Predicted","Actual","Freq"
"fraud_security","fraud_security",10
"market_panic","fraud_security",4
"neutral_other","fraud_security",0
"regulatory_stress","fraud_security",0
"technical_friction","fraud_security",1
"fraud_security","market_panic",3
"market_panic","market_panic",10
"neutral_other","market_panic",1
"regulatory_stress","market_panic",1
"technical_friction","market_panic",3
"fraud_security","neutral_other",2
"market_panic","neutral_other",2
"neutral_other","neutral_other",10
"regulatory_stress","neutral_other",3
"technical_friction","neutral_other",2
"fraud_security","regulatory_stress",3
"market_panic","regulatory_stress",1
"neutral_other","regulatory_stress",1
"regulatory_stress","regulatory_stress",8
"technical_friction","regulatory_stress",1
"fraud_security","technical_friction",8
"market_panic","technical_friction",2
"neutral_other","technical_friction",1
"regulatory_stress","technical_friction",2
"technical_friction","technical_friction",20
